1567016597.195827, 21.125000
1567016598.198876, 21.125000
1567016599.201790, 21.062500
1567016600.204700, 21.125000
1567016601.207617, 21.187500
1567016602.210581, 21.187500
1567016603.213533, 21.250000
1567016604.216444, 21.250000
1567016605.219390, 21.312500
1567016606.222318, 21.250000
1567016607.225262, 21.250000
1567016608.228245, 21.250000
1567016609.231189, 21.500000
1567016610.234133, 21.625000
1567016611.237057, 21.562500
1567016612.239803, 21.437500
1567016613.242730, 21.500000
1567016614.245675, 21.562500
1567016615.248602, 21.750000
1567016616.251537, 22.062500
1567016617.254495, 21.937500
1567016618.257505, 21.687500
1567016619.259800, 21.812500
1567016620.262859, 21.937500
1567016621.265776, 21.875000
1567016622.268443, 22.062500
1567016623.271396, 22.375000
1567016624.274335, 22.812500
1567016625.277294, 22.937500
1567016626.280243, 22.312500
1567016627.283175, 22.375000
1567016628.286099, 22.625000
1567016629.289066, 23.000000
1567016630.291989, 23.187500
1567016631.294920, 23.437500
1567016632.297843, 23.437500
1567016633.300830, 22.812500
1567016634.303770, 23.125000
1567016635.306767, 23.437500
1567016636.309799, 23.812500
1567016637.312724, 23.875000
1567016638.315637, 23.875000
1567016639.318574, 24.125000
1567016640.321520, 23.937500
1567016641.324459, 23.687500
1567016642.327395, 23.500000
1567016643.329814, 24.125000
1567016644.332778, 24.500000
1567016645.337078, 24.562500
1567016646.339806, 24.437500
1567016647.342747, 24.125000
1567016648.345687, 24.062500
1567016649.348624, 24.000000
1567016650.350736, 24.187500
1567016651.353676, 25.062500
1567016652.356613, 24.937500
1567016653.359554, 24.687500
1567016654.362462, 25.187500
1567016655.365405, 24.937500
1567016656.368352, 24.750000
1567016657.371341, 24.750000
1567016658.374284, 25.000000
1567016659.377228, 25.250000
1567016660.379854, 25.625000
1567016661.382815, 25.375000
1567016662.385753, 25.250000
1567016663.388512, 25.437500
1567016664.391446, 25.625000
1567016665.394384, 25.875000
1567016666.397351, 26.125000
1567016667.399814, 26.250000
1567016668.402754, 26.312500
1567016669.405700, 25.937500
1567016670.408614, 26.437500
1567016671.411553, 26.500000
1567016672.414495, 26.375000
1567016673.416756, 16.062500
1567016674.419634, 26.687500
1567016675.422563, 26.812500
1567016676.425500, 26.937500
1567016677.428452, 27.000000
1567016678.431378, 26.937500
1567016679.434337, 27.000000
1567016680.437273, 27.250000
1567016681.439838, 27.250000
1567016682.442803, 27.500000
1567016683.445740, 27.500000
1567016684.448671, 27.500000
1567016685.451609, 27.562500
1567016686.454519, 27.687500
1567016687.457452, 27.687500
1567016688.459810, 27.875000
1567016689.462742, 27.937500
1567016690.465670, 28.062500
1567016691.468625, 28.125000
1567016692.471574, 28.187500
1567016693.474506, 28.250000
1567016694.477446, 28.375000
1567016695.479837, 28.375000
1567016696.482772, 28.625000
1567016697.485807, 28.625000
1567016698.488746, 28.750000
1567016699.491674, 28.875000
1567016700.494618, 28.875000
1567016701.497551, 28.937500
1567016702.499854, 29.000000
1567016703.502768, 29.125000
1567016704.505799, 29.187500
1567016705.508734, 29.312500
1567016706.511664, 29.437500
1567016707.514601, 29.500000
1567016708.517748, 29.562500
1567016709.519795, 29.687500
1567016710.522715, 29.687500
1567016711.525665, 29.937500
1567016712.528616, 30.000000
1567016713.531554, 30.062500
1567016714.534483, 30.125000
1567016715.537418, 30.250000
1567016716.539812, 30.375000
1567016717.542733, 30.375000
1567016718.545668, 30.562500
1567016719.548598, 30.687500
1567016720.551503, 30.687500
1567016721.554440, 30.750000
1567016722.557386, 30.875000
1567016723.559798, 31.000000
1567016724.562738, 31.000000
1567016725.565811, 31.125000
1567016726.568754, 31.187500
1567016727.571684, 31.375000
1567016728.574618, 31.375000
1567016729.577603, 31.500000
1567016730.579813, 31.562500
1567016731.582750, 31.625000
1567016732.585701, 31.687500
1567016733.588673, 31.812500
1567016734.591608, 32.000000
1567016735.594568, 32.000000
1567016736.597515, 32.125000
1567016737.599776, 32.187500
1567016738.602709, 32.312500
1567016739.605849, 32.312500
1567016740.608791, 32.437500
1567016741.611728, 32.562500
1567016742.614655, 32.562500
1567016743.617585, 32.750000
1567016744.619832, 32.750000
1567016745.622765, 32.937500
1567016746.625697, 33.000000
1567016747.628637, 33.000000
1567016748.631563, 33.125000
1567016749.634499, 33.187500
1567016750.637424, 33.375000
1567016751.639792, 33.375000
1567016752.642736, 33.500000
1567016753.645657, 33.562500
